x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-43.00000E-03,+40.20100E-03,-19.01947251E+00,-8.04020E-03,+0.0E+00
-42.95000E-03,+40.20100E-03,-19.01947251E+00,-8.04020E-03,-0.0E+00
-42.90000E-03,+60.30151E-03,-19.01947251E+00,-8.04020E-03,+0.0E+00
-42.85000E-03,+40.20100E-03,-19.01947251E+00,-16.08040E-03,+0.0E+00
-42.80000E-03,+40.20100E-03,-18.81846748E+00,-8.04020E-03,-201.00503E-03
-42.75000E-03,+40.20100E-03,-19.01947251E+00,-16.08040E-03,+0.0E+00
-42.70000E-03,+60.30151E-03,-19.01947251E+00,-8.04020E-03,+0.0E+00
-42.65000E-03,+40.20100E-03,-18.81846748E+00,-16.08040E-03,-0.0E+00
-42.60000E-03,+40.20100E-03,-18.81846748E+00,-8.04020E-03,+0.0E+00
-42.55000E-03,+40.20100E-03,-19.01947251E+00,-16.08040E-03,-201.00503E-03
-42.50000E-03,+40.20100E-03,-18.61746246E+00,-8.04020E-03,+0.0E+00
-42.45000E-03,+40.20100E-03,-18.61746246E+00,-24.12060E-03,+0.0E+00
-42.40000E-03,+60.30151E-03,-18.41645743E+00,-8.04020E-03,-201.00503E-03
-42.35000E-03,+40.20100E-03,-18.21545240E+00,-8.04020E-03,-201.00503E-03
-42.30000E-03,+40.20100E-03,-18.01444738E+00,-16.08040E-03,-0.0E+00
-42.25000E-03,+40.20100E-03,-18.01444738E+00,-8.04020E-03,-201.00503E-03
-42.20000E-03,+40.20100E-03,-17.61243732E+00,-8.04020E-03,-0.0E+00
-42.15000E-03,+40.20100E-03,-17.41143230E+00,-8.04020E-03,+0.0E+00
-42.10000E-03,+40.20100E-03,-17.21042727E+00,-8.04020E-03,+0.0E+00
-42.05000E-03,+40.20100E-03,-16.80841722E+00,-8.04020E-03,+0.0E+00
-42.00000E-03,+60.30151E-03,-16.80841722E+00,-8.04020E-03,+0.0E+00
-41.95000E-03,+40.20100E-03,-16.20540214E+00,-8.04020E-03,+0.0E+00
-41.90000E-03,+60.30151E-03,-16.20540214E+00,-8.04020E-03,+0.0E+00
-41.85000E-03,+40.20100E-03,-15.80339208E+00,-8.04020E-03,-201.00503E-03
-41.80000E-03,+40.20100E-03,-15.80339208E+00,-8.04020E-03,+0.0E+00
-41.75000E-03,+40.20100E-03,-15.40138203E+00,-8.04020E-03,-201.00503E-03
-41.70000E-03,+40.20100E-03,-15.20037700E+00,-8.04020E-03,+0.0E+00
-41.65000E-03,+60.30151E-03,-14.99937198E+00,+0.0E+00,-0.0E+00
-41.60000E-03,+40.20100E-03,-14.59736192E+00,-16.08040E-03,+0.0E+00
-41.55000E-03,+60.30151E-03,-14.39635690E+00,-16.08040E-03,-201.00503E-03
-41.50000E-03,+40.20100E-03,-14.19535187E+00,-8.04020E-03,-201.00503E-03
-41.45000E-03,+40.20100E-03,-13.79334182E+00,-8.04020E-03,+0.0E+00
-41.40000E-03,+40.20100E-03,-13.59233679E+00,-8.04020E-03,-201.00503E-03
-41.35000E-03,+40.20100E-03,-13.19032674E+00,-8.04020E-03,-201.00503E-03
-41.30000E-03,+60.30151E-03,-12.98932171E+00,-8.04020E-03,-201.00503E-03
-41.25000E-03,+40.20100E-03,-12.58731166E+00,-16.08040E-03,-201.00503E-03
-41.20000E-03,+40.20100E-03,-12.58731166E+00,-16.08040E-03,-201.00503E-03
-41.15000E-03,+60.30151E-03,-12.18530160E+00,-8.04020E-03,-201.00503E-03
-41.10000E-03,+40.20100E-03,-11.78329155E+00,-8.04020E-03,-201.00503E-03
-41.05000E-03,+40.20100E-03,-11.58228652E+00,-8.04020E-03,+0.0E+00
-41.00000E-03,+40.20100E-03,-11.18027647E+00,-8.04020E-03,-201.00503E-03
-40.95000E-03,+60.30151E-03,-10.97927144E+00,-16.08040E-03,-201.00503E-03
-40.90000E-03,+40.20100E-03,-10.97927144E+00,-8.04020E-03,-201.00503E-03
-40.85000E-03,+40.20100E-03,-10.37625636E+00,-16.08040E-03,-201.00503E-03
-40.80000E-03,+40.20100E-03,-10.17525133E+00,-8.04020E-03,-201.00503E-03
-40.75000E-03,+40.20100E-03,-9.97424631E+00,-16.08040E-03,+0.0E+00
-40.70000E-03,+60.30151E-03,-9.57223625E+00,-16.08040E-03,-201.00503E-03
-40.65000E-03,+40.20100E-03,-9.17022620E+00,-8.04020E-03,-201.00503E-03
-40.60000E-03,+40.20100E-03,-8.96922117E+00,-8.04020E-03,+0.0E+00
-40.55000E-03,+40.20100E-03,-8.76821615E+00,-8.04020E-03,+0.0E+00
-40.50000E-03,+40.20100E-03,-8.36620609E+00,-16.08040E-03,-0.0E+00
-40.45000E-03,+20.10050E-03,-8.16520107E+00,-8.04020E-03,+0.0E+00
-40.40000E-03,+40.20100E-03,-7.76319101E+00,-8.04020E-03,+0.0E+00
-40.35000E-03,+40.20100E-03,-7.56218599E+00,-16.08040E-03,-0.0E+00
-40.30000E-03,+40.20100E-03,-7.16017593E+00,-16.08040E-03,-201.00503E-03
-40.25000E-03,+40.20100E-03,-6.75816588E+00,-8.04020E-03,-201.00503E-03
-40.20000E-03,+40.20100E-03,-6.55716085E+00,-8.04020E-03,-0.0E+00
-40.15000E-03,+60.30151E-03,-6.35615583E+00,-16.08040E-03,-201.00503E-03
