x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-41.50000E-03,+40.20100E-03,-13.99434684E+00,-20.10050E-03,+18.49246246E+00
-41.45000E-03,+40.20100E-03,-13.59233679E+00,-20.10050E-03,+18.69346748E+00
-41.40000E-03,+40.20100E-03,-13.39133176E+00,-20.10050E-03,+18.69346748E+00
-41.35000E-03,+40.20100E-03,-12.98932171E+00,-20.10050E-03,+18.69346748E+00
-41.30000E-03,+40.20100E-03,-12.78831668E+00,-20.10050E-03,+18.69346748E+00
-41.25000E-03,+40.20100E-03,-12.38630663E+00,-20.10050E-03,+18.69346748E+00
-41.20000E-03,+40.20100E-03,-12.38630663E+00,-20.10050E-03,+18.69346748E+00
-41.15000E-03,+40.20100E-03,-12.18530160E+00,-20.10050E-03,+18.49246246E+00
-41.10000E-03,+40.20100E-03,-11.78329155E+00,-20.10050E-03,+18.49246246E+00
-41.05000E-03,+40.20100E-03,-11.38128150E+00,-20.10050E-03,+18.69346748E+00
-41.00000E-03,+40.20100E-03,-11.18027647E+00,-20.10050E-03,+18.49246246E+00
-40.95000E-03,+40.20100E-03,-10.77826642E+00,-20.10050E-03,+18.49246246E+00
-40.90000E-03,+20.10050E-03,-10.57726139E+00,-20.10050E-03,+18.69346748E+00
-40.85000E-03,+40.20100E-03,-10.37625636E+00,-20.10050E-03,+18.49246246E+00
-40.80000E-03,+40.20100E-03,-9.97424631E+00,-20.10050E-03,+18.49246246E+00
-40.75000E-03,+40.20100E-03,-9.77324128E+00,-20.10050E-03,+18.49246246E+00
-40.70000E-03,+40.20100E-03,-9.57223625E+00,-20.10050E-03,+18.49246246E+00
-40.65000E-03,+40.20100E-03,-9.17022620E+00,-20.10050E-03,+18.69346748E+00
-40.60000E-03,+40.20100E-03,-8.76821615E+00,-20.10050E-03,+18.49246246E+00
-40.55000E-03,+40.20100E-03,-8.76821615E+00,-20.10050E-03,+18.69346748E+00
-40.50000E-03,+40.20100E-03,-8.16520107E+00,-0.0E+00,+18.69346748E+00
-40.45000E-03,+60.30151E-03,-7.96419604E+00,-20.10050E-03,+18.49246246E+00
-40.40000E-03,+40.20100E-03,-7.76319101E+00,-20.10050E-03,+18.69346748E+00
-40.35000E-03,+20.10050E-03,-7.16017593E+00,-20.10050E-03,+18.69346748E+00
-40.30000E-03,+40.20100E-03,-6.95917091E+00,-0.0E+00,+18.69346748E+00
-40.25000E-03,+40.20100E-03,-6.75816588E+00,-20.10050E-03,+18.69346748E+00
-40.20000E-03,+40.20100E-03,-6.55716085E+00,-20.10050E-03,+18.69346748E+00
-40.15000E-03,+40.20100E-03,-6.35615583E+00,-20.10050E-03,+18.69346748E+00
-40.10000E-03,+40.20100E-03,-5.95414577E+00,-20.10050E-03,+18.69346748E+00
-40.05000E-03,+60.30151E-03,-5.75314075E+00,-20.10050E-03,+18.69346748E+00
-40.00000E-03,+40.20100E-03,-5.15012567E+00,-20.10050E-03,+18.49246246E+00
-39.95000E-03,+40.20100E-03,-4.54711059E+00,-20.10050E-03,+18.69346748E+00
-39.90000E-03,+40.20100E-03,-4.34610556E+00,-20.10050E-03,+18.49246246E+00
-39.85000E-03,+40.20100E-03,-3.94409551E+00,-20.10050E-03,+18.49246246E+00
-39.80000E-03,+60.30151E-03,-3.74309048E+00,-20.10050E-03,+18.69346748E+00
-39.75000E-03,+40.20100E-03,-3.14007540E+00,-0.0E+00,+18.69346748E+00
-39.70000E-03,+40.20100E-03,-3.14007540E+00,-20.10050E-03,+18.69346748E+00
-39.65000E-03,+40.20100E-03,-2.73806535E+00,-20.10050E-03,+18.69346748E+00
-39.60000E-03,+40.20100E-03,-2.53706032E+00,-20.10050E-03,+18.49246246E+00
-39.55000E-03,+40.20100E-03,-2.33605529E+00,-0.0E+00,+18.69346748E+00
-39.50000E-03,+40.20100E-03,-1.93404524E+00,-20.10050E-03,+18.49246246E+00
-39.45000E-03,+40.20100E-03,-1.73304021E+00,-20.10050E-03,+18.69346748E+00
-39.40000E-03,+40.20100E-03,-1.73304021E+00,-20.10050E-03,+18.49246246E+00
-39.35000E-03,+20.10050E-03,-1.33103016E+00,-0.0E+00,+18.69346748E+00
-39.30000E-03,+40.20100E-03,-1.13002513E+00,-20.10050E-03,+18.49246246E+00
-39.25000E-03,+40.20100E-03,-728.01508E-03,+0.0E+00,+18.69346748E+00
-39.20000E-03,+40.20100E-03,-527.01005E-03,-20.10050E-03,+18.69346748E+00
-39.15000E-03,+40.20100E-03,-326.00503E-03,-20.10050E-03,+18.69346748E+00
-39.10000E-03,+40.20100E-03,-125.00000E-03,-20.10050E-03,+18.69346748E+00
-39.05000E-03,+40.20100E-03,+76.00503E-03,-20.10050E-03,+18.69346748E+00
-39.00000E-03,+40.20100E-03,+76.00503E-03,-20.10050E-03,+18.69346748E+00
-38.95000E-03,+40.20100E-03,+76.00503E-03,-0.0E+00,+18.69346748E+00
-38.90000E-03,+40.20100E-03,+76.00503E-03,+0.0E+00,+18.49246246E+00
-38.85000E-03,+40.20100E-03,+76.00503E-03,-20.10050E-03,+18.69346748E+00
-38.80000E-03,+40.20100E-03,+76.00503E-03,-20.10050E-03,+18.69346748E+00
-38.75000E-03,+40.20100E-03,+277.01005E-03,-20.10050E-03,+18.49246246E+00
-38.70000E-03,+60.30151E-03,+679.02011E-03,-20.10050E-03,+18.69346748E+00
-38.65000E-03,+60.30151E-03,+880.02513E-03,-20.10050E-03,+18.69346748E+00
-38.60000E-03,+40.20100E-03,+1.08103016E+00,-20.10050E-03,+18.49246246E+00
-38.55000E-03,+40.20100E-03,+1.48304021E+00,-20.10050E-03,+18.69346748E+00
-38.50000E-03,+40.20100E-03,+1.68404524E+00,-20.10050E-03,+18.49246246E+00
-38.45000E-03,+40.20100E-03,+1.88505027E+00,-20.10050E-03,+18.49246246E+00
-38.40000E-03,+60.30151E-03,+2.08605529E+00,-20.10050E-03,+18.69346748E+00
-38.35000E-03,+40.20100E-03,+2.28706032E+00,-20.10050E-03,+18.69346748E+00
