x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
+656.7500E-06,-633.4472293E-03,-1.6884421930E+00,-137.4371845E-03,+1.0698644034E+00
+657.0000E-06,-617.1155712E-03,-1.6080401838E+00,-140.7035161E-03,+1.0045567863E+00
+657.2500E-06,-617.1155712E-03,-1.6080401838E+00,-143.4673351E-03,+1.0058080070E+00
+657.5000E-06,-617.1155712E-03,-1.5728643048E+00,-142.4623100E-03,+1.0058080070E+00
+657.7500E-06,-597.0150689E-03,-1.5929648071E+00,-144.7236165E-03,+1.0070134514E+00
+658.0000E-06,-597.0150689E-03,-1.5276381746E+00,-144.7236165E-03,+945.5052726E-03
+658.2500E-06,-597.0150689E-03,-1.5276381746E+00,-144.7236165E-03,+945.5052726E-03
+658.5000E-06,-588.2210991E-03,-1.4924622956E+00,-144.7236165E-03,+919.1228263E-03
+658.7500E-06,-576.9145666E-03,-1.4472361654E+00,-144.7236165E-03,+946.7107170E-03
+659.0000E-06,-575.6582852E-03,-1.4472361654E+00,-148.4924607E-03,+885.2025382E-03
+659.2500E-06,-576.9145666E-03,-1.4472361654E+00,-148.7437170E-03,+885.2025382E-03
+659.5000E-06,-556.8140643E-03,-1.3668341562E+00,-146.4824105E-03,+870.0810783E-03
+659.7500E-06,-556.8140643E-03,-1.3668341562E+00,-148.7437170E-03,+888.9562003E-03
+660.0000E-06,-537.9698434E-03,-1.3668341562E+00,-148.7437170E-03,+829.9199455E-03
+660.2500E-06,-556.8140643E-03,-1.3417085283E+00,-149.9999984E-03,+799.7990958E-03
+660.5000E-06,-536.7135620E-03,-1.3216080260E+00,-151.0050235E-03,+799.7380606E-03
+660.7500E-06,-516.6130597E-03,-1.2864321470E+00,-152.0100486E-03,+764.5970695E-03
+661.0000E-06,-536.7135620E-03,-1.2864321470E+00,-152.7638175E-03,+764.5970695E-03
+661.2500E-06,-516.6130597E-03,-1.2060301378E+00,-152.7638175E-03,+704.2943351E-03
+661.5000E-06,-516.6130597E-03,-1.2060301378E+00,-152.7638175E-03,+704.2943351E-03
+661.7500E-06,-496.5125574E-03,-1.2060301378E+00,-152.7638175E-03,+708.0479972E-03
+662.0000E-06,-515.3567783E-03,-1.2060301378E+00,-153.0150737E-03,+705.5455558E-03
+662.2500E-06,-496.5125574E-03,-1.1256281286E+00,-154.0200989E-03,+643.9916007E-03
+662.5000E-06,-476.4120551E-03,-1.1256281286E+00,-156.7839179E-03,+643.9916007E-03
+662.7500E-06,-480.1808993E-03,-1.1256281286E+00,-156.7839179E-03,+643.9916007E-03
+663.0000E-06,-476.4120551E-03,-1.0452261195E+00,-156.7839179E-03,+658.9909903E-03
+663.2500E-06,-462.5929598E-03,-1.0452261195E+00,-156.7839179E-03,+608.7895744E-03
+663.5000E-06,-467.6180853E-03,-1.0452261195E+00,-156.7839179E-03,+583.6888663E-03
+663.7500E-06,-456.3115528E-03,-964.8241103E-03,-157.5376868E-03,+603.7083976E-03
+664.0000E-06,-436.2110505E-03,-964.8241103E-03,-160.5527621E-03,+524.6373527E-03
+664.2500E-06,-436.2110505E-03,-964.8241103E-03,-160.8040184E-03,+543.4056632E-03
+664.5000E-06,-436.2110505E-03,-929.6482313E-03,-160.8040184E-03,+543.4056632E-03
+664.7500E-06,-436.2110505E-03,-949.7487336E-03,-160.0502495E-03,+528.3452385E-03
